"Season","Team","Played","Wins","num_players"
"2016","Sydney Swans",22,17,34
"2016","Geelong Cats",22,17,33
"2016","Hawthorn",22,17,36
"2016","GWS Giants",22,16,35
"2016","Adelaide Crows",22,16,29
"2016","West Coast Eagles",22,16,35
"2016","Western Bulldogs",22,15,39
"2016","North Melbourne",22,12,34
"2016","St Kilda",22,12,35
"2016","Port Adelaide",22,10,37
"2016","Melbourne",22,10,37
"2016","Collingwood",22,9,39
"2016","Richmond",22,8,41
"2016","Carlton",22,7,35
"2016","Gold Coast Suns",22,6,40
"2016","Fremantle",22,4,38
"2016","Brisbane Lions",22,3,40
"2016","Essendon",22,3,39
"2017","Adelaide Crows",22,15,31
"2017","Geelong Cats",22,15,36
"2017","Richmond",22,15,38
"2017","GWS Giants",22,14,37
"2017","Port Adelaide",22,14,35
"2017","Sydney Swans",22,14,35
"2017","Essendon",22,12,36
"2017","West Coast Eagles",22,12,34
"2017","Melbourne",22,12,36
"2017","Western Bulldogs",22,11,37
"2017","St Kilda",22,11,34
"2017","Hawthorn",22,10,37
"2017","Collingwood",22,9,37
"2017","Fremantle",22,8,37
"2017","North Melbourne",22,6,37
"2017","Carlton",22,6,39
"2017","Gold Coast Suns",22,6,42
"2017","Brisbane Lions",22,5,38
"2018","Richmond",22,18,34
"2018","West Coast Eagles",22,16,33
"2018","Collingwood",22,15,39
"2018","Hawthorn",22,15,36
"2018","Melbourne",22,14,37
"2018","Sydney Swans",22,14,36
"2018","GWS Giants",22,13,38
"2018","Geelong Cats",22,13,40
"2018","North Melbourne",22,12,31
"2018","Port Adelaide",22,12,34
"2018","Essendon",22,12,39
"2018","Adelaide Crows",22,12,35
"2018","Western Bulldogs",22,8,38
"2018","Fremantle",22,8,37
"2018","Brisbane Lions",22,5,34
"2018","St Kilda",22,4,41
"2018","Gold Coast Suns",22,4,39
"2018","Carlton",22,2,37
"2019","Geelong Cats",22,16,34
"2019","Brisbane Lions",22,16,35
"2019","Richmond",22,16,39
"2019","Collingwood",22,15,36
"2019","West Coast Eagles",22,15,34
"2019","GWS Giants",22,13,38
"2019","Western Bulldogs",22,12,34
"2019","Essendon",22,12,38
"2019","Hawthorn",22,11,34
"2019","Port Adelaide",22,11,37
"2019","Adelaide Crows",22,10,36
"2019","North Melbourne",22,10,35
"2019","Fremantle",22,9,37
"2019","St Kilda",22,9,39
"2019","Sydney Swans",22,8,35
"2019","Carlton",22,7,37
"2019","Melbourne",22,5,39
"2019","Gold Coast Suns",22,3,38
"2021","Melbourne",22,17,34
"2021","Port Adelaide",22,17,35
"2021","Geelong Cats",22,16,35
"2021","Brisbane Lions",22,15,32
"2021","Western Bulldogs",22,15,41
"2021","Sydney Swans",22,15,37
"2021","GWS Giants",22,11,39
"2021","Essendon",22,11,37
"2021","West Coast Eagles",22,10,37
"2021","St Kilda",22,10,39
"2021","Fremantle",22,10,39
"2021","Richmond",22,9,40
"2021","Carlton",22,8,39
"2021","Hawthorn",22,7,38
"2021","Adelaide Crows",22,7,37
"2021","Gold Coast Suns",22,7,38
"2021","Collingwood",22,6,39
"2021","North Melbourne",22,4,38
"2022","Geelong Cats",22,18,35
"2022","Melbourne",22,16,33
"2022","Sydney Swans",22,16,35
"2022","Collingwood",22,16,38
"2022","Fremantle",22,15,35
"2022","Brisbane Lions",22,15,37
"2022","Richmond",22,13,37
"2022","Western Bulldogs",22,12,41
"2022","Carlton",22,12,40
"2022","St Kilda",22,11,35
"2022","Port Adelaide",22,10,37
"2022","Gold Coast Suns",22,10,40
"2022","Hawthorn",22,8,39
"2022","Adelaide Crows",22,8,38
"2022","Essendon",22,7,39
"2022","GWS Giants",22,6,39
"2022","West Coast Eagles",22,2,47
"2022","North Melbourne",22,2,39
